ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
119,19,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
120,20,jeczmien,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
121,1,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,1.00,1.00,2.50,4.50,7.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
122,2,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,0.70,1.00,2.00,3.00,7.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
123,3,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,0.00,1.00,1.00,1.50,3.00,no,no,yes,yes,yes,no,yes,yes,yes,yes
124,4,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,0.00,1.00,1.00,1.50,4.00,no,no,yes,yes,yes,no,yes,yes,yes,yes
125,5,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,0.00,1.00,1.00,1.50,2.00,no,no,yes,yes,yes,no,yes,yes,yes,yes
126,6,jeczmien,1,25,0.00,0.00,0.10,0.60,0.60,0.00,1.00,1.00,1.00,2.00,no,no,yes,yes,yes,no,yes,yes,yes,yes
127,7,jeczmien,1,25,0.00,0.00,0.10,0.00,0.60,0.00,1.00,1.00,1.00,2.00,no,no,yes,no,yes,no,yes,yes,yes,yes
128,8,jeczmien,1,25,0.00,0.00,0.10,0.00,0.60,0.00,1.00,1.00,1.00,1.00,no,no,yes,no,yes,no,yes,yes,yes,yes
129,9,jeczmien,1,25,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.50,1.00,no,no,no,no,yes,no,no,no,yes,yes
130,10,jeczmien,1,25,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,no,no,no,no,yes,no,no,no,no,no
131,11,jeczmien,1,25,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,no,no,no,no,yes,no,no,no,no,no
132,12,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
133,13,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
134,14,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
135,15,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
136,16,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
137,17,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
138,18,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
139,19,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
140,20,jeczmien,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
141,1,jeczmien,2,25,0.00,0.00,0.05,0.60,1.00,2.00,1.50,2.50,5.00,8.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
142,2,jeczmien,2,25,0.00,0.00,0.05,0.60,1.00,1.00,1.50,1.00,2.00,5.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
143,3,jeczmien,2,25,0.00,0.00,0.05,0.60,0.00,1.00,1.00,1.00,1.50,4.00,no,no,yes,yes,no,yes,yes,yes,yes,yes
