ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14,
70,10,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
71,11,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
72,12,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
73,13,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
74,14,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
75,15,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
76,16,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
77,17,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
78,18,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
79,19,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
80,20,rzeżucha,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
81,1,rzeżucha,1,50,0.00,0.00,0.10,0.50,0.50,0.70,0.70,0.70,0.70,0.70,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
82,2,rzeżucha,1,50,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
83,3,rzeżucha,1,50,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
84,4,rzeżucha,1,50,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
85,5,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
86,6,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
87,7,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
88,8,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
89,9,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
90,10,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
91,11,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
92,12,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
93,13,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
94,14,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
95,15,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
96,16,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
97,17,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
98,18,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
99,19,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
100,20,rzeżucha,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
101,1,rzeżucha,2,50,0.00,0.20,0.10,0.10,0.50,0.50,1.50,1.50,0.50,1.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
102,2,rzeżucha,2,50,0.00,0.00,0.10,0.10,0.00,0.50,1.00,0.50,0.50,1.00,no,no,yes,yes,no,yes,yes,yes,yes,yes,
103,3,rzeżucha,2,50,0.00,0.00,0.10,0.10,0.00,0.50,0.70,0.20,1.00,0.50,no,no,yes,yes,no,yes,yes,yes,yes,yes,
104,4,rzeżucha,2,50,0.00,0.00,0.10,0.10,0.00,0.50,0.70,0.20,0.20,0.50,no,no,yes,yes,no,yes,yes,yes,yes,yes,
105,5,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.80,no,no,no,no,no,no,no,yes,yes,yes,
106,6,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.80,no,no,no,no,no,no,no,yes,yes,yes,
107,7,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.80,no,no,no,no,no,no,no,yes,yes,yes,
108,8,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.20,0.20,no,no,no,no,no,no,no,yes,yes,yes,
109,9,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,no,no,no,no,no,no,no,no,yes,yes,
110,10,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,no,no,no,no,no,no,no,no,yes,yes,
111,11,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,no,no,no,no,no,no,no,no,yes,yes,
112,12,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,no,no,no,no,no,no,no,no,yes,yes,
113,13,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
114,14,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
115,15,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
116,16,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
117,17,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
118,18,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
119,19,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
120,20,rzeżucha,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
121,1,rzeżucha,1,25,0.00,0.50,0.50,1.00,1.50,2.00,2.00,2.00,2.00,2.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
122,2,rzeżucha,1,25,0.00,0.50,0.50,1.00,1.00,1.00,2.00,2.00,1.50,2.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
123,3,rzeżucha,1,25,0.00,0.50,0.50,1.00,1.00,1.00,2.00,1.50,1.50,2.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
124,4,rzeżucha,1,25,0.00,0.50,0.50,1.00,1.00,1.00,2.00,1.50,1.00,2.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
125,5,rzeżucha,1,25,0.00,0.50,0.50,1.00,1.00,1.00,1.00,1.50,1.00,1.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
126,6,rzeżucha,1,25,0.00,0.50,0.50,1.00,0.50,1.00,1.00,1.00,1.00,1.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
127,7,rzeżucha,1,25,0.00,0.00,0.50,1.00,0.50,1.00,1.00,1.00,1.00,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
128,8,rzeżucha,1,25,0.00,0.00,0.50,1.00,0.50,1.00,1.00,1.00,1.00,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
129,9,rzeżucha,1,25,0.00,0.00,0.50,1.00,0.50,0.50,1.00,1.00,1.00,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
130,10,rzeżucha,1,25,0.00,0.00,0.50,0.20,0.50,0.50,1.00,1.00,1.00,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
131,11,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.50,0.50,1.00,1.00,0.50,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
132,12,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.50,0.50,0.50,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
133,13,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.50,0.50,0.50,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
134,14,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.50,0.50,0.50,0.20,0.30,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
135,15,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.50,0.20,0.20,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
136,16,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
137,17,rzeżucha,1,25,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
138,18,rzeżucha,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
139,19,rzeżucha,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
140,20,rzeżucha,1,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
141,1,rzeżucha,2,25,0.00,0.50,1.00,1.50,1.50,2.00,2.50,2.00,2.50,2.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
142,2,rzeżucha,2,25,0.00,0.50,0.70,0.50,1.50,1.00,2.50,2.00,2.50,2.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
143,3,rzeżucha,2,25,0.00,0.00,0.10,0.50,0.50,1.00,1.00,1.00,1.00,1.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
144,4,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
145,5,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.50,0.50,1.00,1.00,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
146,6,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.20,0.50,0.70,0.50,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
147,7,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.70,0.50,1.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
148,8,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.70,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
149,9,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.50,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
150,10,rzeżucha,2,25,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.50,0.50,0.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes,
151,11,rzeżucha,2,25,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.50,0.50,no,no,no,yes,yes,yes,yes,yes,yes,yes,
152,12,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
153,13,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
154,14,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
155,15,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
156,16,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
157,17,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
158,18,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
159,19,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
160,20,rzeżucha,2,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
161,1,rzeżucha,1,12.5,0.00,0.50,1.50,2.00,1.50,2.50,4.00,4.00,4.00,4.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
162,2,rzeżucha,1,12.5,0.00,0.50,1.50,1.50,1.50,2.50,4.00,4.00,3.00,4.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
